Adv Name,Industry,Campaign Name,Total Impressions,Total Clicks,Total Revenue,Month
Bajaj,BFSI,"OF-15837_ARM_Bajaj Finserv_CB,CBC,PT_CPC3",38589,296,888,Jul'22
Bajaj,BFSI,"OF-15837_ARM_Bajaj Finserv_CB,CBC,PT_CPC3",39992,18,54,Jul'22
Bajaj,BFSI,"OF-15837_ARM_Bajaj Finserv_CB,CBC,PT_CPC3",161981,200,600,Jul'22
Bajaj,BFSI,"OF-15837_ARM_Bajaj Finserv_CB,CBC,PT_CPC3",37493,123,369,Jul'22
Bajaj,BFSI,"OF-15837_ARM_Bajaj Finserv_CB,CBC,PT_CPC3",21406,9,27,Jul'22
Bajaj,BFSI,"OF-15837_ARM_Bajaj Finserv_CB,CBC,PT_CPC3",12232,5,15,Jul'22
Bajaj,BFSI,"OF-15837_ARM_Bajaj Finserv_CB,CBC,PT_CPC3",760579,669,2007,Jul'22
Bajaj,BFSI,"OF-15837_ARM_Bajaj Finserv_CB,CBC,PT_CPC3",14053,61,183,Jul'22
Bajaj,BFSI,"OF-15837_ARM_Bajaj Finserv_CB,CBC,PT_CPC3",136359,364,1092,Jul'22
Bajaj,BFSI,"OF-15837_ARM_Bajaj Finserv_CB,CBC,PT_CPC3",8232,56,168,Jul'22
Bajaj,BFSI,"OF-15837_ARM_Bajaj Finserv_CB,CBC,PT_CPC3",7578,12,36,Jul'22
Bajaj,BFSI,"OF-15837_ARM_Bajaj Finserv_CB,CBC,PT_CPC3",6329,4,12,Jul'22
Bajaj,BFSI,"OF-15837_ARM_Bajaj Finserv_CB,CBC,PT_CPC3",7009,45,135,Jul'22
Bajaj,BFSI,"OF-15837_ARM_Bajaj Finserv_CB,CBC,PT_CPC3",38136,16,48,Jul'22
Bajaj,BFSI,"OF-15837_ARM_Bajaj Finserv_CB,CBC,PT_CPC3",2557,25,75,Jul'22
Bajaj,BFSI,"OF-15837_ARM_Bajaj Finserv_CB,CBC,PT_CPC3",115585,45,135,Jul'22
Bajaj,BFSI,"OF-15837_ARM_Bajaj Finserv_CB,CBC,PT_CPC3",793,8,24,Jul'22
Bajaj,BFSI,"OF-15837_ARM_Bajaj Finserv_CB,CBC,PT_CPC3",4315,16,48,Jul'22
Bajaj,BFSI,"OF-15837_ARM_Bajaj Finserv_CB,CBC,PT_CPC3",1199,4,12,Jul'22
Bajaj,BFSI,"OF-15837_ARM_Bajaj Finserv_CB,CBC,PT_CPC3",27,0,0,Jul'22
Bajaj,BFSI,"OF-15837_ARM_Bajaj Finserv_CB,CBC,PT_CPC3",21109,44,132,Jul'22
Bajaj,BFSI,"OF-15837_ARM_Bajaj Finserv_CB,CBC,PT_CPC3",1047481,1945,5835,Jul'22
Bajaj,BFSI,"OF-15837_ARM_Bajaj Finserv_CB,CBC,PT_CPC3",171,2,6,Jul'22
Bajaj,BFSI,"OF-15837_ARM_Bajaj Finserv_CB,CBC,PT_CPC3",236683,74,222,Jul'22
Bajaj,BFSI,"OF-15837_ARM_Bajaj Finserv_CB,CBC,PT_CPC3",310,0,0,Jul'22
Brigade,Misc,OF-16097_Brigade_HomeMastHead_CPM65,220255,308,14317,Jul'22
Brigade,Misc,OF-16097_Brigade_HomeMastHead_CPM65,4201574,15310,273102,Jul'22
Brigade,Misc,OF-16097_Brigade_HomeMastHead_CPM65,37077,50,2410,Jul'22
Byjus,Edtech,OF-16039_Byjus_HomeBTF_CPM,0,0,0,Jul'22
CanaraHSBC,BFSI,OF-15882_CanaraHSBC_HomeBTF/ Rewards/ Investment,5633492,15491,108437,Jul'22
CanaraHSBC,BFSI,OF-15882_CanaraHSBC_HomeBTF/ Rewards/ Investment,1763919,2348,16436,Jul'22
CanaraHSBC,BFSI,OF-15882_CanaraHSBC_HomeBTF/ Rewards/ Investment,661517,1777,12439,Jul'22
CanaraHSBC,BFSI,OF-15882_CanaraHSBC_HomeBTF/ Rewards/ Investment,3802511,9521,66647,Jul'22
CanaraHSBC,BFSI,OF-15882_CanaraHSBC_HomeBTF/ Rewards/ Investment,523006,1927,13489,Jul'22
CanaraHSBC,BFSI,OF-15882_CanaraHSBC_HomeBTF/ Rewards/ Investment,920496,1704,11928,Jul'22
CanaraHSBC,BFSI,OF-15882_CanaraHSBC_HomeBTF/ Rewards/ Investment,612376,927,6489,Jul'22
CanaraHSBC,BFSI,OF-15882_CanaraHSBC_HomeBTF/ Rewards/ Investment,721777,1435,10045,Jul'22
CanaraHSBC,BFSI,OF-15882_CanaraHSBC_HomeBTF/ Rewards/ Investment,812109,1677,11739,Jul'22
CanaraHSBC,BFSI,OF-15882_CanaraHSBC_HomeBTF/ Rewards/ Investment,494072,951,6657,Jul'22
CanaraHSBC,BFSI,OF-15882_CanaraHSBC_HomeBTF/ Rewards/ Investment,747776,1437,10059,Jul'22
CanaraHSBC,BFSI,OF-15882_CanaraHSBC_HomeBTF/ Rewards/ Investment,437428,1495,10465,Jul'22
CanaraHSBC,BFSI,OF-15882_CanaraHSBC_HomeBTF/ Rewards/ Investment,607502,2078,14546,Jul'22
CanaraHSBC,BFSI,OF-15882_CanaraHSBC_HomeBTF/ Rewards/ Investment,22,0,0,Jul'22
Citibank,BFSI,OF-15777_Citi_HomeBTF_Rewards_Wealth,2057577,4426,41152,Jul'22
Citibank,BFSI,OF-15777_Citi_HomeBTF_Rewards_Wealth,2210301,9011,44206,Jul'22
Citibank,BFSI,OF-15777_Citi_HomeBTF_Rewards_Wealth,1211367,3193,24227,Jul'22
Citibank,BFSI,OF-15777_Citi_HomeBTF_Rewards_Wealth,909278,4612,18186,Jul'22
Citibank,BFSI,OF-15777_Citi_HomeBTF_Rewards_Wealth,621761,2245,12435,Jul'22
Citibank,BFSI,OF-15777_Citi_HomeBTF_Rewards_Wealth,20463617,43574,409272,Jul'22
Citibank,BFSI,OF-15777_Citi_HomeBTF_Rewards_Wealth,2775059,4547,55501,Jul'22
Citibank,BFSI,OF-15777_Citi_HomeBTF_Rewards_Wealth,568867,2216,11377,Jul'22
Citibank,BFSI,OF-15777_Citi_HomeBTF_Rewards_Wealth,915996,2307,18320,Jul'22
Citibank,BFSI,OF-15777_Citi_HomeBTF_Rewards_Wealth,3933244,12670,78665,Jul'22
Citibank,BFSI,OF-15777_Citi_HomeBTF_Rewards_Wealth,474498,1700,9490,Jul'22
Citibank,BFSI,OF-15777_Citi_HomeBTF_Rewards_Wealth,1800491,5757,36010,Jul'22
Citibank,BFSI,OF-15777_Citi_HomeBTF_Rewards_Wealth,17788,133,356,Jul'22
Citibank,BFSI,OF-15777_Citi_HomeBTF_Rewards_Wealth,15771,109,315,Jul'22
Citibank,BFSI,OF-15777_Citi_HomeBTF_Rewards_Wealth,11614,80,232,Jul'22
Citibank,BFSI,OF-15777_Citi_HomeBTF_Rewards_Wealth,11025,62,221,Jul'22
Citibank,BFSI,OF-15777_Citi_HomeBTF_Rewards_MMBTF,22648,53,453,Jul'22
Citibank,BFSI,OF-15777_Citi_HomeBTF_Rewards_Wealth,8471,47,169,Jul'22
CRED,BFSI,OF-15780_Performics-Cred_MyMoney_CPC6,407190,850,5100,Jul'22
CRED,BFSI,OF-15780_Performics-Cred_MyMoney_CPC6,124385,504,3024,Jul'22
CRED,BFSI,OF-15780_Performics-Cred_MyMoney_CPC6,102580,376,2256,Jul'22
CRED,BFSI,OF-15780_Performics-Cred_MyMoney_CPC6,38601,153,918,Jul'22
CRED,BFSI,OF-15780_Performics-Cred_MyMoney_CPC6,10203,29,174,Jul'22
CRED,BFSI,OF-15780_Performics-Cred_MyMoney_CPC6,42591,177,1062,Jul'22
Flipkart Internet,e-Commerce,OF-15986_FK_HomeMastHead_CPD,182776729,505476,2000000,Jul'22
Flipkart Internet,e-Commerce,OF-15986_FK_HomeMastHead_CPD,27,0,0,Jul'22
Gamezy,Gaming,OF-15799_Gamezy_ATF_CPM,65204267,120964,1304085,Jul'22
Gamezy,Gaming,OF-15906_Gamezy_CPM20_HomeATF/BTF,38253320,98124,595530,Jul'22
Gamezy,Gaming,OF-15906_Gamezy_CPM20_HomeATF/BTF,212733,669,3312,Jul'22
Gamezy,Gaming,OF-15906_Gamezy_CPM20_HomeATF/BTF,50424,35,785,Jul'22
Gamezy,Gaming,OF-15906_Gamezy_CPM20_HomeATF/BTF,11335,17,176,Jul'22
Gamezy,Gaming,OF-15906_Gamezy_CPM20_HomeATF/BTF,10521,20,164,Jul'22
Gamezy,Gaming,OF-15906_Gamezy_CPM20_HomeATF/BTF,2136,4,33,Jul'22
GPRC,Telecom & Utility,OF-15963_GPRC_HomeATF_CPM85,54468,5,3566,Jul'22
GPRC,Telecom & Utility,OF-15963_GPRC_HomeATF_CPM85,2,0,0,Jul'22
GRT Jewels,Offline Retail,OF-15816_GRT Jewels_HomeMastHead,10025728,10833,86664,Jul'22
GRT Jewels,Offline Retail,OF-15816_GRT Jewels_HomeMastHead,4823553,8516,68128,Jul'22
GRT Jewels,Offline Retail,OF-15816_GRT Jewels_HomeMastHead,2936957,10359,82872,Jul'22
GRT Jewels,Offline Retail,OF-15816_GRT Jewels_HomeMastHead,4516973,5412,43296,Jul'22
GRT Jewels,Offline Retail,OF-15816_GRT Jewels_HomeMastHead,3003409,2856,22848,Jul'22
GRT Jewels,Offline Retail,OF-15816_GRT Jewels_HomeMastHead,530372,1053,8424,Jul'22
Hotstar,OTT & Entertainment,OF-15610_Hotstar,112475,192,7873,Jul'22
Hotstar,OTT & Entertainment,OF-15610_Hotstar,53755,263,3763,Jul'22
Hotstar Airtel - Shoorveer,Telecom & Utility,OF-15953_Hotstar Airtel - Shoorveer,35372,91,2476,Jul'22
Hotstar Airtel - Shoorveer,Telecom & Utility,OF-15953_Hotstar Airtel - Shoorveer,19859,66,1390,Jul'22
Hotstar Jio - Shoorveer,Telecom & Utility,OF-15952_Hotstar Jio - Shoorveer,51466,94,3603,Jul'22
Hotstar Jio - Shoorveer,Telecom & Utility,OF-15952_Hotstar Jio - Shoorveer,23567,115,1650,Jul'22
Hotstar VI - Shoorveer,Telecom & Utility,OF-15954_Hotstar VI - Shoorveer,19021,27,1331,Jul'22
Hotstar VI - Shoorveer,Telecom & Utility,OF-15954_Hotstar VI - Shoorveer,9762,35,683,Jul'22
Isobar- IndusInd,BFSI,"OF-15760_IndusInd CC_HomeBTF,Rewards,MMBTF_CPC5",336627,1324,6620,Jul'22
Isobar- IndusInd,BFSI,"OF-15760_IndusInd CC_HomeBTF,Rewards,MMBTF_CPC5",269664,1801,9005,Jul'22
Isobar- IndusInd,BFSI,"OF-15760_IndusInd CC_HomeBTF,Rewards,MMBTF_CPC5",168336,686,3430,Jul'22
Isobar- IndusInd,BFSI,"OF-15760_IndusInd CC_HomeBTF,Rewards,MMBTF_CPC5",82494,644,3220,Jul'22
Isobar- IndusInd,BFSI,"OF-15760_IndusInd CC_HomeBTF,Rewards,MMBTF_CPC5",61433,473,2365,Jul'22
Isobar- IndusInd,BFSI,"OF-15760_IndusInd CC_HomeBTF,Rewards,MMBTF_CPC5",1097112,2153,10765,Jul'22
Isobar- IndusInd,BFSI,"OF-15760_IndusInd CC_HomeBTF,Rewards,MMBTF_CPC5",13604,158,790,Jul'22
Isobar- IndusInd,BFSI,"OF-15760_IndusInd CC_HomeBTF,Rewards,MMBTF_CPC5",71508,609,3045,Jul'22
Isobar- IndusInd,BFSI,"OF-15760_IndusInd CC_HomeBTF,Rewards,MMBTF_CPC5",1235629,4012,20060,Jul'22
Isobar- IndusInd,BFSI,"OF-15760_IndusInd CC_HomeBTF,Rewards,MMBTF_CPC5",106837,258,1290,Jul'22
Isobar- IndusInd,BFSI,"OF-15760_IndusInd CC_HomeBTF,Rewards,MMBTF_CPC5",416,5,25,Jul'22
Isobar- IndusInd,BFSI,"OF-15760_IndusInd CC_HomeBTF,Rewards,MMBTF_CPC5",339752,1518,7590,Jul'22
Isobar- IndusInd,BFSI,"OF-15760_IndusInd CC_HomeBTF,Rewards,MMBTF_CPC5",178748,971,4855,Jul'22
Isobar- IndusInd,BFSI,"OF-15760_IndusInd CC_HomeBTF,Rewards,MMBTF_CPC5",69117,226,1130,Jul'22
Isobar- IndusInd,BFSI,"OF-15760_IndusInd CC_HomeBTF,Rewards,MMBTF_CPC5",4653,29,145,Jul'22
Isobar- IndusInd,BFSI,"OF-15760_IndusInd CC_HomeBTF,Rewards,MMBTF_CPC5",12444,41,205,Jul'22
Isobar- IndusInd,BFSI,"OF-15760_IndusInd CC_HomeBTF,Rewards,MMBTF_CPC5",20474,64,320,Jul'22
Jupiter,BFSI,"OF-15817_Jupiter_CB,CBC_CPC1.5",50157829,159153,238730,Jul'22
Jupiter,BFSI,"OF-15817_Jupiter_CB,CBC_CPC1.5",6528221,3029,4544,Jul'22
Jupiter,BFSI,"OF-15817_Jupiter_CB,CBC_CPC1.5",33935594,53570,80355,Jul'22
Jupiter,BFSI,"OF-15817_Jupiter_CB,CBC_CPC1.5",16135661,36005,54008,Jul'22
Jupiter,BFSI,"OF-15817_Jupiter_CB,CBC_CPC1.5",2322354,6765,10148,Jul'22
Jupiter,BFSI,"OF-15817_Jupiter_CB,CBC_CPC1.5",6766762,3023,4535,Jul'22
Jupiter,BFSI,"OF-15817_Jupiter_CB,CBC_CPC1.5",1822726,759,1139,Jul'22
Jupiter,BFSI,"OF-15817_Jupiter_CB,CBC_CPC1.5",878454,387,581,Jul'22
Jupiter,BFSI,"OF-15817_Jupiter_CB,CBC_CPC1.5",8171432,17913,26870,Jul'22
Jupiter,BFSI,"OF-15817_Jupiter_CB,CBC_CPC1.5",6910462,1121,1682,Jul'22
Jupiter,BFSI,"OF-15817_Jupiter_CB,CBC_CPC1.5",1225555,4144,6216,Jul'22
Jupiter,BFSI,"OF-15817_Jupiter_CB,CBC_CPC1.5",22955901,15139,22709,Jul'22
Jupiter,BFSI,"OF-15817_Jupiter_CB,CBC_CPC1.5",12910619,20823,31235,Jul'22
Jupiter,BFSI,"OF-15817_Jupiter_CB,CBC_CPC1.5",1905600,386,579,Jul'22
Jupiter,BFSI,"OF-15817_Jupiter_CB,CBC_CPC1.5",974448,1369,2054,Jul'22
Jupiter,BFSI,"OF-15817_Jupiter_CB,CBC_CPC1.5",125753,68,102,Jul'22
Jupiter,BFSI,"OF-15817_Jupiter_CB,CBC_CPC1.5",3011790,8774,13161,Jul'22
Jupiter,BFSI,"OF-15817_Jupiter_CB,CBC_CPC1.5",3160896,4207,6311,Jul'22
Jupiter,BFSI,"OF-15817_Jupiter_CB,CBC_CPC1.5",846174,1503,2255,Jul'22
Jupiter,BFSI,"OF-15817_Jupiter_CB,CBC_CPC1.5",189260,804,1206,Jul'22
Jupiter,BFSI,"OF-15817_Jupiter_CB,CBC_CPC1.5",1070649,3407,5111,Jul'22
Jupiter,BFSI,"OF-15817_Jupiter_CB,CBC_CPC1.5",369282,922,1383,Jul'22
Jupiter,BFSI,"OF-15817_Jupiter_CB,CBC_CPC1.5",395589,1549,2324,Jul'22
Jupiter,BFSI,"OF-15817_Jupiter_CB,CBC_CPC1.5",137873,674,1011,Jul'22
Jupiter,BFSI,"OF-15817_Jupiter_CB,CBC_CPC1.5",68914,480,720,Jul'22
Jupiter,BFSI,"OF-15817_Jupiter_CB,CBC_CPC1.5",889590,202,303,Jul'22
Jupiter,BFSI,"OF-15817_Jupiter_CB,CBC_CPC1.5",36986,183,275,Jul'22
Jupiter,BFSI,"OF-15817_Jupiter_CB,CBC_CPC1.5",13177,89,134,Jul'22
Jupiter,BFSI,"OF-15817_Jupiter_CB,CBC_CPC1.5",490901,137,206,Jul'22
Jupiter,BFSI,"OF-15817_Jupiter_CB,CBC_CPC1.5",341489,194,291,Jul'22
Kapiva,Health & wellness,OF-15526_Kapiva_Reward,1662309,2237,11185,Jul'22
Kapiva,Health & wellness,OF-15526_Kapiva_Reward,310836,645,3225,Jul'22
Kapiva,Health & wellness,OF-15526_Kapiva_Reward,385157,728,3640,Jul'22
Kapiva,Health & wellness,OF-15526_Kapiva_Reward,111805,249,1245,Jul'22
Kapiva,Health & wellness,OF-15526_Kapiva_Reward,149913,239,1195,Jul'22
Kapiva,Health & wellness,OF-15526_Kapiva_Reward,90850,216,1080,Jul'22
Kapiva,Health & wellness,OF-15526_Kapiva_PT,988508,5726,28630,Jul'22
Kapiva,Health & wellness,OF-15526_Kapiva_PT,72473,794,3970,Jul'22
Kapiva,Health & wellness,"OF-15526_Kapiva_Reward_PT,MMBTF",60,1,5,Jul'22
Kapiva,Health & wellness,OF-15526_Kapiva_Reward,1,0,0,Jul'22
Kapiva,Health & wellness,"OF-15526_Kapiva_Reward_PT,MMBTF",17,0,0,Jul'22
Kapiva,Health & wellness,"OF-15526_Kapiva_Reward_PT,MMBTF",4579,39,195,Jul'22
Kapiva,Health & wellness,"OF-15526_Kapiva_Reward_PT,MMBTF",680,6,30,Jul'22
Kapiva,Health & wellness,"OF-15526_Kapiva_Reward_PT,MMBTF",209,1,5,Jul'22
Kapiva,Health & wellness,"OF-15526_Kapiva_Reward_PT,MMBTF",69,0,0,Jul'22
Kapiva,Health & wellness,"OF-15526_Kapiva_Reward_PT,MMBTF",93,0,0,Jul'22
Kapiva,Health & wellness,"OF-15995_Kapiva_Reward,PT_CPC5",12198,88,440,Jul'22
Kapiva,Health & wellness,"OF-15995_Kapiva_Reward,PT_CPC5",13181,30,150,Jul'22
Kapiva,Health & wellness,"OF-15995_Kapiva_Reward,PT_CPC5",2400,12,60,Jul'22
Kapiva,Health & wellness,"OF-15995_Kapiva_Reward,PT_CPC5",1493,3,15,Jul'22
Kapiva,Health & wellness,"OF-15995_Kapiva_Reward,PT_CPC5",191,1,5,Jul'22
Kapiva,Health & wellness,"OF-15995_Kapiva_Reward,PT_CPC5",632,3,15,Jul'22
Kapiva,Health & wellness,"OF-15995_Kapiva_Reward,PT_CPC5",34,0,0,Jul'22
Kapiva,Health & wellness,"OF-15995_Kapiva_Reward,PT_CPC5",23,1,5,Jul'22
Kapiva,Health & wellness,"OF-15995_Kapiva_Reward,PT_CPC5",9,0,0,Jul'22
Kapiva,Health & wellness,"OF-15995_Kapiva_Reward,PT_CPC5",3,0,0,Jul'22
Kapiva,Health & wellness,"OF-15995_Kapiva_Reward,PT_CPC5",100,1,5,Jul'22
KFC,FnB,OF-15567_KFC_HomeATF-CPM60,1795612,7894,107737,Jul'22
KFC,FnB,OF-15567_KFC_HomeATF-CPM60,1636325,4138,98180,Jul'22
KFC,FnB,OF-15567_KFC_HomeATF-CPM60,208346,354,12501,Jul'22
KFC,FnB,OF-15567_KFC_HomeATF-CPM60,191089,503,11465,Jul'22
KFC,FnB,OF-15567_KFC_HomeATF-CPM60,30544,74,1833,Jul'22
KFC,FnB,OF-15567_KFC_HomeATF-CPM60,231,0,14,Jul'22
Kotak 811,BFSI,OF-15754_Kotak 811_HomeBTF_Rewards_MyMoney_CPC4,4675847,12317,49268,Jul'22
Kotak 811,BFSI,OF-15754_Kotak 811_HomeBTF_Rewards_MyMoney_CPC4,4036554,8115,32460,Jul'22
Kotak 811,BFSI,OF-15754_Kotak 811_HomeBTF_Rewards_MyMoney_CPC4,3091827,7170,28680,Jul'22
Kotak 811,BFSI,OF-15754_Kotak 811_HomeBTF_Rewards_MyMoney_CPC4,2892420,8395,33580,Jul'22
Kotak 811,BFSI,OF-15754_Kotak 811_HomeBTF_Rewards_MyMoney_CPC4,2043123,6744,26976,Jul'22
Kotak 811,BFSI,OF-15754_Kotak 811_HomeBTF_Rewards_MyMoney_CPC4,5873568,15649,62596,Jul'22
Kotak 811,BFSI,OF-15754_Kotak 811_HomeBTF_Rewards_MyMoney_CPC4,3466825,9699,38796,Jul'22
Kotak 811,BFSI,OF-15754_Kotak 811_HomeBTF_Rewards_MyMoney_CPC4,2226818,7179,28716,Jul'22
Kotak 811,BFSI,OF-15754_Kotak 811_HomeBTF_Rewards_MyMoney_CPC4,14153932,23797,95188,Jul'22
Kotak 811,BFSI,OF-15754_Kotak 811_HomeBTF_Rewards_MyMoney_CPC4,4442336,9977,39908,Jul'22
Kotak 811,BFSI,OF-15754_Kotak 811_HomeBTF_Rewards_MyMoney_CPC4,2183773,7367,29468,Jul'22
Kotak 811,BFSI,OF-15754_Kotak 811_HomeBTF_Rewards_MyMoney_CPC4,7479924,12322,49288,Jul'22
Kotak 811,BFSI,OF-15754_Kotak 811_HomeBTF_Rewards_MyMoney_CPC4,2189784,6249,24996,Jul'22
Kotak 811,BFSI,OF-15754_Kotak 811_HomeBTF_Rewards_MyMoney_CPC4,4787819,11407,45628,Jul'22
Kotak 811,BFSI,OF-15754_Kotak 811_HomeBTF_Rewards_MyMoney_CPC4,152321,439,1756,Jul'22
Licious,Daily needs & Grocery,"OF-15578_Licious_HomeATF,Reward,PT_CPC4",1612693,5792,23168,Jul'22
Licious,Daily needs & Grocery,"OF-15578_Licious_HomeATF,Reward,PT_CPC4",698316,1908,7632,Jul'22
Licious,Daily needs & Grocery,"OF-15578_Licious_HomeATF,Reward,PT_CPC4",609132,871,3484,Jul'22
Licious,Daily needs & Grocery,"OF-15578_Licious_HomeATF,Reward,PT_CPC4",399379,830,3320,Jul'22
Licious,Daily needs & Grocery,"OF-15578_Licious_HomeATF,Reward,PT_CPC4",430598,632,2528,Jul'22
Licious,Daily needs & Grocery,"OF-15578_Licious_HomeATF,Reward,PT_CPC4",164101,444,1776,Jul'22
Licious,Daily needs & Grocery,"OF-15578_Licious_HomeATF,Reward,PT_CPC4",37855,157,628,Jul'22
Licious,Daily needs & Grocery,OF-15578_Licious_PostTxn_CPC4_New,711,2,8,Jul'22
Licious,Daily needs & Grocery,"OF-15578_Licious_HomeATF,Reward,PT_CPC4",33379,148,592,Jul'22
Licious,Daily needs & Grocery,"OF-15578_Licious_HomeATF,Reward,PT_CPC4",18660,87,348,Jul'22
Licious,Daily needs & Grocery,"OF-15578_Licious_HomeATF,Reward,PT_CPC4",48533,166,664,Jul'22
Licious,Daily needs & Grocery,"OF-15578_Licious_HomeATF,Reward,PT_CPC4",39520,141,564,Jul'22
Licious,Daily needs & Grocery,"OF-15578_Licious_HomeATF,Reward,PT_CPC4",36481,104,416,Jul'22
Licious,Daily needs & Grocery,OF-15578_Licious_PostTxn_CPC4_New,612327,3297,13188,Jul'22
Licious,Daily needs & Grocery,OF-15578_Licious_PostTxn_CPC4_New,24840,186,744,Jul'22
Licious,Daily needs & Grocery,OF-15578_Licious_PostTxn_CPC4_New,750,0,0,Jul'22
Licious,Daily needs & Grocery,OF-15578_Licious_PostTxn_CPC4_New,325,3,12,Jul'22
Licious,Daily needs & Grocery,OF-15578_Licious_PostTxn_CPC4_New,158901,110,440,Jul'22
Licious,Daily needs & Grocery,OF-15578_Licious_PostTxn_CPC4_New,23274,32,128,Jul'22
Licious,Daily needs & Grocery,OF-15578_Licious_PostTxn_CPC4_New,879,0,0,Jul'22
Licious,Daily needs & Grocery,OF-15578_Licious_PostTxn_CPC4_New,1396,13,52,Jul'22
Licious,Daily needs & Grocery,OF-15578_Licious_PostTxn_CPC4_New,312,1,4,Jul'22
Licious,Daily needs & Grocery,OF-15578_Licious_PostTxn_CPC4_New,110,0,0,Jul'22
Licious,Daily needs & Grocery,OF-15578_Licious_PostTxn_CPC4_New,5,0,0,Jul'22
Licious,Daily needs & Grocery,OF-15578_Licious_PostTxn_CPC4_New,35,0,0,Jul'22
Ludo_Gold,Gaming,"OF-15702_Zupee Ludo_HomeATF,Rewards,MMBTF,CB,CBC_CPC6",94163650,292971,1757826,Jul'22
Ludo_Gold,Gaming,"OF-15702_Zupee Ludo_HomeATF,Rewards,MMBTF,CB,CBC_CPC6",9749874,9159,54954,Jul'22
Ludo_Gold,Gaming,"OF-15702_Zupee Ludo_HomeATF,Rewards,MMBTF,CB,CBC_CPC6",10110801,6740,40440,Jul'22
Ludo_Gold,Gaming,"OF-15702_Zupee Ludo_HomeATF,Rewards,MMBTF,CB,CBC_CPC6",201475897,53258,319548,Jul'22
Ludo_Gold,Gaming,"OF-15702_Zupee Ludo_HomeATF,Rewards,MMBTF,CB,CBC_CPC6",179062389,39811,238866,Jul'22
Ludo_Gold,Gaming,"OF-15702_Zupee Ludo_HomeATF,Rewards,MMBTF,CB,CBC_CPC6",36425168,63274,379644,Jul'22
Ludo_Gold,Gaming,"OF-15702_Zupee Ludo_HomeATF,Rewards,MMBTF,CB,CBC_CPC6",420794010,776610,4659660,Jul'22
Ludo_Gold,Gaming,"OF-15702_Zupee Ludo_HomeATF,Rewards,MMBTF,CB,CBC_CPC6",57603367,142064,852384,Jul'22
Ludo_Gold,Gaming,"OF-15702_Zupee Ludo_HomeATF,Rewards,MMBTF,CB,CBC_CPC6",82583854,92517,555102,Jul'22
Ludo_Gold,Gaming,"OF-15702_Zupee Ludo_HomeATF,Rewards,MMBTF,CB,CBC_CPC6",1152324,240,1440,Jul'22
Ludo_Gold,Gaming,"OF-15702_Zupee Ludo_HomeATF,Rewards,MMBTF,CB,CBC_CPC6",14131431,38935,233610,Jul'22
Ludo_Gold,Gaming,"OF-15702_Zupee Ludo_HomeATF,Rewards,MMBTF,CB,CBC_CPC6",27152960,6296,37776,Jul'22
Ludo_Gold,Gaming,"OF-15702_Zupee Ludo_HomeATF,Rewards,MMBTF,CB,CBC_CPC6",112924812,115881,695286,Jul'22
Ludo_Gold,Gaming,"OF-15702_Zupee Ludo_HomeATF,Rewards,MMBTF,CB,CBC_CPC6",326809,681,4086,Jul'22
Ludo_Gold,Gaming,"OF-15702_Zupee Ludo_HomeATF,Rewards,MMBTF,CB,CBC_CPC6",5229491,17639,105834,Jul'22
Ludo_Gold,Gaming,"OF-15702_Zupee Ludo_HomeATF,Rewards,MMBTF,CB,CBC_CPC6",857949,3474,20844,Jul'22
Ludo_Gold,Gaming,"OF-15702_Zupee Ludo_HomeATF,Rewards,MMBTF,CB,CBC_CPC6",272025,1625,9750,Jul'22
Ludo_Gold,Gaming,"OF-15702_Zupee Ludo_HomeATF,Rewards,MMBTF,CB,CBC_CPC6",256526,1669,10014,Jul'22
Ludo_Gold,Gaming,"OF-15702_Zupee Ludo_HomeATF,Rewards,MMBTF,CB,CBC_CPC6",587880,3660,21960,Jul'22
Ludo_Gold,Gaming,"OF-15702_Zupee Ludo_HomeATF,Rewards,MMBTF,CB,CBC_CPC6",1552992,381,2286,Jul'22
Ludo_Gold,Gaming,"OF-15702_Zupee Ludo_HomeATF,Rewards,MMBTF,CB,CBC_CPC6",2760892,14659,87954,Jul'22
Ludo_Gold,Gaming,"OF-15702_Zupee Ludo_HomeATF,Rewards,MMBTF,CB,CBC_CPC6",105070,25,150,Jul'22
Ludo_Gold,Gaming,"OF-15702_Zupee Ludo_HomeATF,Rewards,MMBTF,CB,CBC_CPC6",227214,966,5796,Jul'22
Ludo_Gold,Gaming,"OF-15702_Zupee Ludo_HomeATF,Rewards,MMBTF,CB,CBC_CPC6",103188,314,1884,Jul'22
Ludo_Gold,Gaming,"OF-15702_Zupee Ludo_HomeATF,Rewards,MMBTF,CB,CBC_CPC6",745738,4551,27306,Jul'22
Ludo_Gold,Gaming,"OF-15702_Zupee Ludo_HomeATF,Rewards,MMBTF,CB,CBC_CPC6",16689,40,240,Jul'22
Ludo_Gold,Gaming,"OF-15702_Zupee Ludo_HomeATF,Rewards,MMBTF,CB,CBC_CPC6",656471,2827,16962,Jul'22
Ludo_Gold,Gaming,"OF-15702_Zupee Ludo_HomeATF,Rewards,MMBTF,CB,CBC_CPC6",44475,602,3612,Jul'22
Ludo_Gold,Gaming,"OF-15702_Zupee Ludo_HomeATF,Rewards,MMBTF,CB,CBC_CPC6",246029,1537,9222,Jul'22
Ludo_Gold,Gaming,"OF-15702_Zupee Ludo_HomeATF,Rewards,MMBTF,CB,CBC_CPC6",64756,582,3492,Jul'22
